# ARP Table - Network Scan 2026-03-13
# Generated by: arp-scanner v1.2
# Network: 192.168.1.0/24

IP Address        MAC Address         Vendor
192.168.1.66      18:65:24:7D:F0:77  Microsoft
192.168.1.67      69:69:6F:55:C1:10  Router
192.168.1.68      4E:71:7B:78        NVIDIA
192.168.1.69      F7:72:B8:60:50:65  Router
192.168.1.70      C4:CE:F4:77:6F:56  Cisco
192.168.1.71      BC:70:7A:BF        Apple Inc
192.168.1.72      8B:65:9A:2E:CB:3F  Microsoft
192.168.1.73      E2:62:40:65:A6:6A  Samsung
192.168.1.74      49:04:B2:50:4B:2D  Router
192.168.1.75      4E:71:7B:10        NVIDIA
192.168.1.76      D3:94:80:C0:25:FE  Intel
192.168.1.77      92:94:4B:C8:52:3E  Microsoft
192.168.1.78      0A:E3:B5:D2:58:28  Samsung
192.168.1.79      DC:B9:D6:6E:03:A4  NVIDIA
192.168.1.80      62:79:21:C1:1D:EA  Qualcomm
192.168.1.81      03:A4:61:D9:4D:D2  ASUS
192.168.1.82      ED:91:14:2F:A7:91  Apple Inc
192.168.1.83      80:BA:22:1A:CF:7B  Realtek
192.168.1.84      A5:91:C8:77:6B:FC  Router
192.168.1.85      F1:B3:C2:30:59:D7  Cisco
192.168.1.86      EC:EA:B4:D2:1D:E7  AMD
192.168.1.87      A6:7F:7D:7A        HP Inc
192.168.1.88      AB:F1:81:5D:C2:DC  Cisco
192.168.1.89      EF:18:0D:D7:1C:EB  Intel
192.168.1.90      B4:D2:EE:18:0C:77  Apple Inc
192.168.1.91      67:F8:44:A9:8A:93  HP Inc
192.168.1.92      C8:3F:AA:90:8B:22  Microsoft
192.168.1.93      23:B5:CA:3F:E2:AF  Realtek
192.168.1.94      3D:60:7A:D7        Acer
192.168.1.95      95:07:E8:89:80:B6  Samsung
192.168.1.96      13:FD:97:D3:58:6E  Router
192.168.1.97      72:C5:32:4C:5A:65  Apple Inc
192.168.1.98      2E:60:81:B6:27:FD  Cisco
192.168.1.99      87:D3:58:6E:81:B6  HP Inc
192.168.1.100     BC:70:7A:EA        Lenovo
192.168.1.101     24:58:CE:C0:A8:15  Intel
192.168.1.102     33:3E:E2:15:03:A8  HP Inc
192.168.1.103     67:9E:4C:CD:E3:15  Apple Inc
192.168.1.104     4B:A6:F4:C1:89:86  Realtek
192.168.1.105     A2:15:4B:2D:E6:29  Cisco
192.168.1.106     C8:0F:E2:15:7A:E4  AMD
192.168.1.107     E6:6E:1C:B4:B1:41  NVIDIA
192.168.1.108     A6:7F:7D:E1        Dell Inc
192.168.1.109     03:A4:61:A0:08:77  Intel
192.168.1.110     DB:D7:3F:26:2D:9D  ASUS
192.168.1.111     CF:B7:EE:13:03:D2  Microsoft
192.168.1.112     67:7A:38:30:55:56  Apple Inc
192.168.1.113     5F:22:10:DA:CE:77  Intel
192.168.1.114     6F:51:48:35:EF:12  Broadcom
192.168.1.115     21:3E:90:39:0F:A6  ASUS
192.168.1.116     E7:9D:8C:B4:AA:01  Dell Inc
192.168.1.117     7A:FF:E3:1A:98:2F  Broadcom
192.168.1.118     AB:14:BB:64:A6:68  Intel
192.168.1.119     81:06:30:61:46:68  Microsoft
192.168.1.120     2D:8D:D9:7A:6A:09  AMD
192.168.1.121     5B:65:58:53:23:D1  Samsung
192.168.1.122     AA:96:8B:05:4C:5F  AMD
192.168.1.123     8C:B4:41:85:4B:2D  Cisco
192.168.1.124     A7:D8:C9:CB:A3:9E  Cisco
192.168.1.125     07:09:AB:14:01:30  Intel
192.168.1.126     66:87:4B:2D:A7:D9  Cisco
192.168.1.127     C9:CE:A3:EA:9D:68  Dell Inc
192.168.1.128     2C:AD:EC:7A:69:51  Router
192.168.1.129     6F:3D:EF:18:0F:76  AMD
192.168.1.130     E3:E2:02:2C:57:D8  Lenovo
192.168.1.131     43:2F:AF:9C:8A:65  Acer
192.168.1.132     22:43:BC:59:AB:96  Realtek
192.168.1.133     BC:70:7A:B0        Broadcom
192.168.1.134     8B:25:EA:14:37:4B  Intel
192.168.1.135     D2:5C:C0:2A:EF:14  Dell Inc
192.168.1.136     08:46:CA:5D:28:7A  Router
192.168.1.137     3D:60:7A:34        NVIDIA
192.168.1.138     9B:9E:7F:FF:69:81  Broadcom
192.168.1.139     5C:A5:A7:91:C8:77  Lenovo
192.168.1.140     E3:EF:C0:67:BB:1A  AMD
192.168.1.141     9A:2F:AA:14:B2:65  Broadcom
192.168.1.142     BC:70:7A:10        Cisco
192.168.1.143     8E:41:43:3B:63:5D  NVIDIA
192.168.1.144     4A:D5:EE:18:C9:D4  Dell Inc
192.168.1.145     C5:59:C2:69:83:B9  Broadcom
192.168.1.146     80:B2:B6:03:49:65  Dell Inc
192.168.1.147     71:A4:AE:9D        Router
192.168.1.148     2E:68:84:B6:AE:31  Qualcomm
192.168.1.149     6B:6C:58:44:84:B4  AMD
192.168.1.150     AE:31:6B:60:22:6E  Cisco
192.168.1.151     84:B4:A6:31:63:64  NVIDIA
192.168.1.152     2E:90:BC:AA:AB:96  NVIDIA
192.168.1.153     8C:25:4C:1E:81:BC  Apple Inc
192.168.1.154     26:01:A2:4C:58:6E  Broadcom
192.168.1.155     37:BC:59:A1:4B:2D  Lenovo
192.168.1.156     A7:91:BD:0E:69:4E  Intel
192.168.1.157     63:68:96:51:F9:ED  Broadcom
192.168.1.158     71:A4:AE:E6        Dell Inc
192.168.1.159     AA:96:82:D2:58:44  ASUS
192.168.1.160     80:BC:26:2D:03:A4  Acer
192.168.1.161     00:1A:2B:FE        Dell Inc
192.168.1.162     56:D4:F9:FF:AA:14  Apple Inc
192.168.1.163     B8:97:A6:91:C8:3F  Realtek
192.168.1.164     AA:9C:93:76:F9:CE  Router
192.168.1.165     95:7E:BE:54:16:6C  Dell Inc
192.168.1.166     3D:60:7A:59        Realtek
192.168.1.167     F9:D0:97:C0:02:51  Samsung
192.168.1.168     C0:AE:17:91:C8:3F  Acer
192.168.1.169     AB:9C:B9:61:8C:C2  ASUS
192.168.1.170     F8:72:6B:C6:02:2C  Intel
192.168.1.171     57:D8:09:D4:F2:54  Dell Inc
192.168.1.172     3D:60:7A:42        Intel
192.168.1.173     C0:6D:A3:14:08:4B  Broadcom
192.168.1.174     4D:54:C0:25:EF:12  ASUS
192.168.1.175     20:37:AF:98:03:25  Router
192.168.1.176     A6:7F:7D:68        Microsoft
192.168.1.177     EF:40:20:77:E3:E4  Apple Inc
192.168.1.178     82:B5:BF:C4        ASUS
192.168.1.179     03:AE:4F:90:BA:5E  Router
192.168.1.180     A3:9F:1A:2C:24:73  Apple Inc
192.168.1.181     38:BF:18:B5:3E:3D  Acer
192.168.1.182     C1:D0:43:2E:63:F7  Router
192.168.1.183     B4:22:A7:91:84:3E  ASUS
192.168.1.184     F6:1F:A0:12:27:6B  Qualcomm
192.168.1.185     F8:4A:F2:73:0A:A6  Acer
192.168.1.186     B6:10:2A:C0:ED:15  Realtek
192.168.1.187     4B:69:A6:85:C2:D4  Microsoft
192.168.1.188     C8:95:B1:3D:D2:80  ASUS
192.168.1.189     AE:7E:69:04:CA:CF  ASUS
192.168.1.190     58:9E:C8:3F:84:51  Samsung
192.168.1.191     4A:31:AD:7A:DC:BF  Broadcom
192.168.1.192     18:35:3E:22:C1:D0  Samsung
192.168.1.193     60:93:9D:39        Microsoft
192.168.1.194     43:2E:63:F7:B4:22  Realtek
192.168.1.195     A7:91:AE:7B:E3:01  Dell Inc
192.168.1.196     41:64:24:50:CA:D4  Microsoft
192.168.1.197     7B:54:C0:6D:A3:D8  Dell Inc
192.168.1.198     C9:FF:0B:61:B4:D2  Realtek
192.168.1.199     58:D9:4B:FB:DA:4E  Lenovo
192.168.1.200     15:72:FA:D0:94:7E  NVIDIA
192.168.1.201     BF:54:15:6C:F8:52  Realtek
192.168.1.202     58:AF:72:58:11:BD  Dell Inc
192.168.1.203     00:1A:2B:FA        Cisco
192.168.1.204     A7:92:C8:3F:E2:11  Intel
192.168.1.205     4B:2D:A7:6E:37:3F  Dell Inc
192.168.1.206     E2:AD:4B:2D:A7:91  Dell Inc
192.168.1.207     C8:3F:E2:55:4B:2D  Cisco
192.168.1.208     A7:91:C8:3F:E2:15  Samsung
192.168.1.209     4B:2D:A7:91:C8:3F  Acer
192.168.1.210     E2:15:4B:2D:A7:91  Intel
192.168.1.211     C8:3F:E2:15:4B:2D  Lenovo
192.168.1.212     A7:91:C8:3F:E2:15  ASUS
192.168.1.213     4B:2D:A7:11:C8:3F  Cisco
192.168.1.214     E2:1B:54:97:A9:91  NVIDIA
192.168.1.215     7C:36:2F:34:F3:2C  Intel
192.168.1.216     EB:5C:E9:6B:8A:7C  Router
192.168.1.217     A6:7F:7D:18        Router
192.168.1.218     38:0D:D7:E3:A7:58  Lenovo
192.168.1.219     90:74:26:0D:C4:F0  Acer
192.168.1.220     A6:51:8D:61:6B:4F  AMD
192.168.1.221     C2:B1:BA:4A:8C:35  HP Inc
192.168.1.222     22:43:87:D5:87:6C  NVIDIA
192.168.1.223     C2:78:24:49:C2:BF  AMD
192.168.1.224     C5:32:E8:31:4B:2D  Microsoft
192.168.1.225     A7:91:C8:3F:E2:45  Acer
192.168.1.226     0E:2D:A7:F5:4E:35  Router
192.168.1.227     E2:1D:24:B5:CE:91  Acer
192.168.1.228     C8:3F:E2:15:4B:2D  Apple Inc
192.168.1.229     A7:61:C8:11:C0:1E  Broadcom
192.168.1.230     49:2F:8A:91:F0:3E  Apple Inc
192.168.1.231     E2:15:53:2D:A7:91  Cisco
192.168.1.232     CA:3E:E2:15:59:2D  Microsoft
192.168.1.233     82:B5:BF:15        Cisco
192.168.1.234     A7:91:D8:3F:E2:15  NVIDIA
192.168.1.235     4B:EF:36:93:C8:3F  HP Inc
192.168.1.236     E2:15:5B:2D:A7:91  Intel
192.168.1.237     CA:3F:E2:11:4B:2D  ASUS
192.168.1.238     A7:91:C8:3F:E2:10  Router
192.168.1.239     4B:2F:A7:91:C8:3F  Qualcomm
192.168.1.240     00:1A:2B:06        ASUS
192.168.1.241     E2:15:AB:2F:A7:91  Acer
192.168.1.242     CC:3F:E2:92:C3:2C  Qualcomm
192.168.1.243     60:93:9D:77        Dell Inc
192.168.1.244     A7:93:C8:5F:E3:15  Realtek
192.168.1.245     4B:0D:A7:91:C8:3F  Broadcom
192.168.1.246     E2:15:5B:2D:A7:91  Router
192.168.1.247     C8:3F:E2:15:4B:3D  Acer
192.168.1.248     A7:91:C8:3F:E2:15  Dell Inc
192.168.1.249     5B:2D:A7:91:C8:3F  Acer
192.168.1.250     E2:15:4B:2D:A7:81  Cisco
192.168.1.251     C8:3F:E2:15:EB:2F  Acer
192.168.1.252     4E:71:7B:BF        NVIDIA
192.168.1.253     A7:DD:C8:3F:E2:15  Qualcomm
192.168.1.254     FB:2F:A7:F9:CB:3F  Qualcomm
192.168.1.255     71:A4:AE:46        Cisco
192.168.1.256     E2:15:4B:2D:A7:91  Router
192.168.1.257     BC:70:7A:07        Apple Inc
192.168.1.258     C8:3F:E2:15:3B:2C  Broadcom
192.168.1.259     71:A4:AE:FF        Acer
192.168.1.260     A7:09:C9:3F:E2:15  Acer
192.168.1.261     4B:2D:A7:91:C8:3F  Lenovo
192.168.1.262     E2:15:9B:2F:A7:11  Dell Inc
192.168.1.263     C8:3F:E2:15:4B:2D  Lenovo
192.168.1.264     A7:91:C8:3F:E2:15  Router
192.168.1.265     4B:2D:A7:91:C8:3F  Microsoft
192.168.1.266     E2:15:4B:2D:A7:91  Cisco
192.168.1.267     C8:3F:E2:75:2A:2C  Intel
192.168.1.268     A7:B9:C8:3F:E2:15  Acer
192.168.1.269     4B:2D:A7:91:C8:3F  Cisco
192.168.1.270     E2:15:4B:2D:A7:91  HP Inc
192.168.1.271     C8:3F:E2:15:FA:2F  Intel
192.168.1.272     A7:51:C8:3F:E2:15  Microsoft
192.168.1.273     4B:2D:A7:91:C8:3F  Router
192.168.1.274     E2:15:4B:2D:A7:91  Cisco
192.168.1.275     C8:3F:E2:15:4B:2D  Acer
192.168.1.276     A7:91:C8:3F:E2:3B  Dell Inc
192.168.1.277     3F:48:DF:E5:C8:3F  Router
192.168.1.278     E2:C5:7C:2C:A7:91  Intel
192.168.1.279     D8:3F:E2:15:73:2C  Router
192.168.1.280     A7:91:CC:3F:E2:15  Apple Inc
192.168.1.281     4B:2D:A7:91:C8:3F  Broadcom
192.168.1.282     E2:15:4B:2D:A7:B1  Cisco
192.168.1.283     C8:3F:82:3B:2F:4C  Realtek
192.168.1.284     D3:F0:C8:3F:E2:A5  Broadcom
192.168.1.285     48:2D:A7:91:98:3E  Router
192.168.1.286     3D:60:7A:CC        NVIDIA
192.168.1.287     E2:15:4F:2D:A7:91  NVIDIA
192.168.1.288     F4:3E:E2:15:4B:2D  Lenovo
192.168.1.289     4E:71:7B:46        Samsung
192.168.1.290     A7:91:C8:3F:E2:15  AMD
192.168.1.291     4B:2D:A7:D1:C8:3F  Qualcomm
192.168.1.292     22:3B:39:49:C6:E5  Cisco
192.168.1.293     A9:3F:E2:BD:4F:2D  Broadcom
192.168.1.294     4E:71:7B:BA        Apple Inc
192.168.1.295     A7:91:A8:3E:E2:15  Samsung
192.168.1.296     4D:2D:A7:91:88:3E  Dell Inc
192.168.1.297     E2:15:4B:2D:A7:91  Acer
192.168.1.298     C8:3F:E2:15:4B:2D  Router
192.168.1.299     A7:D1:C8:3F:A2:3B  Samsung
192.168.1.300     3B:49:C6:E5:A9:3F  AMD
192.168.1.301     E2:8D:4A:2D:A7:91  Intel
192.168.1.302     B8:3E:E2:15:49:2D  AMD
192.168.1.303     A7:91:8E:3E:E2:15  NVIDIA
192.168.1.304     4B:2D:A7:91:C8:3F  Acer
192.168.1.305     E2:15:4B:2D:A7:D1  Cisco
192.168.1.306     82:B5:BF:22        HP Inc
192.168.1.307     C8:3F:A2:3B:33:49  Lenovo
192.168.1.308     C6:E5:A9:3F:E2:3D  Lenovo
192.168.1.309     4A:2D:A7:91:48:3E  AMD
192.168.1.310     E2:15:49:2D:A7:91  HP Inc
192.168.1.311     80:3E:E2:15:4B:2D  Lenovo
192.168.1.312     A7:91:C8:3F:E2:15  Acer
192.168.1.313     4E:71:7B:14        Intel
192.168.1.314     4B:2D:A7:D1:C8:3F  Lenovo
192.168.1.315     A2:3B:29:5E:D4:91  Apple Inc
192.168.1.316     C8:3F:E2:55:4A:2C  Cisco
192.168.1.317     A7:91:58:3E:E2:15  Lenovo
192.168.1.318     4B:2D:A7:91:C8:3F  Microsoft
192.168.1.319     E2:15:4B:2D:A7:91  Cisco
192.168.1.320     4E:71:7B:E7        Qualcomm
192.168.1.321     C8:3F:E2:15:4B:2D  Lenovo
192.168.1.322     A7:11:C8:3F:22:3B  AMD
192.168.1.323     5F:82:8C:CC        AMD
192.168.1.324     2E:49:C6:E5:A9:3F  Apple Inc
192.168.1.325     4E:71:7B:DD        Router
192.168.1.326     E2:59:4B:2D:A7:91  Qualcomm
192.168.1.327     68:3D:E2:15:49:2D  Broadcom
192.168.1.328     A7:91:82:3E:E2:15  Router
192.168.1.329     4B:2D:A7:91:C8:3F  NVIDIA
192.168.1.330     00:1A:2B:49        Cisco
192.168.1.331     E2:15:4B:2D:A7:D1  Realtek
192.168.1.332     C8:3F:A2:3B:22:49  Realtek
192.168.1.333     C6:E5:A9:3F:E2:7D  ASUS
192.168.1.334     48:2D:A7:91:78:3D  Broadcom
192.168.1.335     E2:15:4F:2D:A7:91  AMD
192.168.1.336     84:3E:E2:15:4B:2D  Cisco
192.168.1.337     A7:91:C8:3F:E2:15  Broadcom
192.168.1.338     4B:2D:A7:D1:C8:3F  AMD
192.168.1.339     4E:71:7B:F4        Lenovo
192.168.1.340     A2:3B:3F:41:D4:91  Cisco
192.168.1.341     C8:3F:E2:05:4B:2D  Qualcomm
192.168.1.342     A7:91:08:3D:E2:15  HP Inc
192.168.1.343     49:2D:A7:91:98:3E  Cisco
192.168.1.344     E2:15:4B:2D:A7:91  AMD
192.168.1.345     C8:3F:E2:15:4B:2D  Broadcom
192.168.1.346     A7:D1:C8:3F:22:3B  HP Inc
192.168.1.347     BC:70:7A:E4        Realtek
192.168.1.348     39:48:CB:FE:AB:3F  HP Inc
192.168.1.349     71:A4:AE:22        Acer
192.168.1.350     E2:95:4B:2D:A7:91  HP Inc
192.168.1.351     18:3D:E2:15:49:2D  HP Inc
192.168.1.352     A7:91:9A:3E:E2:15  HP Inc
192.168.1.353     82:B5:BF:12        Acer
192.168.1.354     4B:2D:A7:91:C8:3F  Dell Inc
192.168.1.355     E2:15:4B:2D:A7:D1  Microsoft
192.168.1.356     82:B5:BF:AC        ASUS
192.168.1.357     C8:3F:A0:15:4B:2D  Router
192.168.1.358     A6:7F:7D:93        Samsung
192.168.1.359     A7:91:C8:3F:E2:15  Microsoft
192.168.1.360     4B:2D:A7:91:C8:3F  Acer
192.168.1.361     E2:15:4B:2D:A7:91  NVIDIA
192.168.1.362     C8:3F:E2:15:4B:2D  Acer
192.168.1.363     A7:91:C8:3F:E2:15  AMD
192.168.1.364     4B:2D:A7:91:C8:3F  Qualcomm
192.168.1.365     00:1A:2B:42        Realtek
192.168.1.366     E2:15:4B:2D:A7:91  Lenovo
192.168.1.367     82:B5:BF:66        Intel
192.168.1.368     C8:3F:E2:15:4B:2D  Dell Inc
192.168.1.369     A7:91:C8:3F:E2:15  Cisco
192.168.1.370     4B:2D:A7:91:C8:3F  Broadcom
192.168.1.371     E2:15:4B:2D:A7:91  Realtek
192.168.1.372     C8:3F:E2:15:4B:2D  Lenovo
192.168.1.373     A7:91:C8:3F:E2:15  Intel
192.168.1.374     4B:2D:A7:91:C8:3F  Broadcom
192.168.1.375     E2:15:4B:2D:A7:91  NVIDIA
192.168.1.376     C8:3F:E2:15:4B:2D  Cisco
192.168.1.377     A7:91:C8:3F:E2:15  Router
192.168.1.378     4B:2D:A7:91:C8:3F  AMD
192.168.1.379     E2:15:4B:2D:A7:91  Lenovo
192.168.1.380     C8:3F:E2:15:4B:2D  Realtek
192.168.1.381     A7:91:C8:3F:E2:15  HP Inc
192.168.1.382     4B:2D:A7:91:C8:3F  Microsoft
192.168.1.383     E2:15:4B:2D:A7:91  Cisco
192.168.1.384     C8:3F:E2:15:4B:2D  Qualcomm
192.168.1.385     A7:91:C8:3F:E2:15  Qualcomm
192.168.1.386     4B:2D:A7:91:C8:3F  Acer
192.168.1.387     E2:15:4B:2D:A7:91  Intel
192.168.1.388     C8:3F:E2:15:4B:2D  Apple Inc
192.168.1.389     60:93:9D:66        Lenovo
192.168.1.390     A7:91:C8:3F:E2:15  Realtek
192.168.1.391     4E:71:7B:34        Samsung
192.168.1.392     4B:2D:A7:91:C8:3F  Broadcom
192.168.1.393     E2:15:4B:2D:A7:91  Lenovo
192.168.1.394     C8:3F:E2:15:4B:2D  AMD
192.168.1.395     A7:91:C8:3F:E2:15  Lenovo
192.168.1.396     82:B5:BF:EB        Samsung
192.168.1.397     4B:2D:A7:91:C8:3F  Realtek
192.168.1.398     E2:15:4B:2D:A7:91  Cisco
192.168.1.399     C8:3F:E2:15:4B:2D  Apple Inc
192.168.1.400     A7:91:C8:3F:E2:15  NVIDIA
192.168.1.401     4B:2D:A7:91:C8:3F  Router
192.168.1.402     E2:54:1E:6C:F3:C4  Lenovo
192.168.1.403     9F:69:B1:5D:C8:C1  NVIDIA
192.168.1.404     8F:D9:41:F0:AF:9C  Router
192.168.1.405     BC:70:7A:94        Intel
192.168.1.406     8E:A8:75:9E:4D:A1  Router
192.168.1.407     A6:7F:7D:B9        Acer
192.168.1.408     E2:15:4B:A6:A2:69  Realtek
192.168.1.409     B7:3E:E2:90:8B:22  Lenovo
192.168.1.410     29:E8:C9:3F:E2:96  Router
192.168.1.411     A3:2C:96:7C:41:3A  Broadcom
192.168.1.412     07:6A:4A:2D:1F:A1  Intel
192.168.1.413     C8:3F:E2:70:2C:65  Acer
192.168.1.414     71:A4:AE:59        Router
192.168.1.415     2C:91:80:B4:9A:1D  Microsoft
192.168.1.416     4E:71:7B:65        Dell Inc
192.168.1.417     03:A6:BA:C9:9B:3E  Cisco
192.168.1.418     E2:59:C0:08:7E:31  Acer
192.168.1.419     CA:3F:09:0D:44:32  AMD
192.168.1.420     A6:7F:7D:AC        Lenovo
192.168.1.421     27:91:C8:3F:E2:5D  ASUS
192.168.1.422     72:DA:A8:15:97:3E  AMD
192.168.1.423     E2:15:F2:C5:A4:91  Cisco
192.168.1.424     C8:7E:1D:C1:03:A4  ASUS
192.168.1.425     4F:61:80:30:53:2E  Acer
192.168.1.426     03:A4:61:D9:4D:FF  Cisco
192.168.1.427     97:CA:03:A6:9A:A1  Broadcom
192.168.1.428     9B:3E:E2:9E:4C:AE  Apple Inc
192.168.1.429     5F:93:C7:BA:86:14  Router
192.168.1.430     4B:2D:EF:1C:C5:51  Broadcom
192.168.1.431     60:93:9D:5E        ASUS
192.168.1.432     9D:14:4B:C5:FE:8F  Cisco
192.168.1.433     C9:3F:25:12:4B:2D  Intel
192.168.1.434     A7:91:80:B8:D1:AD  Apple Inc
192.168.1.435     4A:2D:A7:91:80:BC  Samsung
192.168.1.436     26:3D:10:73:F8:CC  Lenovo
192.168.1.437     00:1A:2B:C9        Broadcom
192.168.1.438     89:63:A3:48:88:4B  HP Inc
192.168.1.439     A8:8E:8C:3F:E2:96  ASUS
192.168.1.440     B1:2C:D2:72:70:0F  ASUS
192.168.1.441     E2:15:4B:1C:4A:F4  Intel
192.168.1.442     71:A4:AE:15        Broadcom
192.168.1.443     AF:77:69:15:03:A6  Dell Inc
192.168.1.444     D7:99:80:B4:FF:D9  Qualcomm
192.168.1.445     19:2C:A7:DD:43:1A  Qualcomm
192.168.1.446     AF:B5:49:2D:4C:85  HP Inc
192.168.1.447     C7:20:E2:5D:72:EB  Cisco
192.168.1.448     A8:15:0F:3F:E2:15  Microsoft
192.168.1.449     F2:C5:A4:91:C8:7E  Lenovo
192.168.1.450     1D:C1:03:A4:4F:61  Realtek
192.168.1.451     80:30:53:26:03:A8  Dell Inc
192.168.1.452     67:E4:2A:0E:0F:5D  ASUS
192.168.1.453     C0:18:0E:C3:C9:3F  ASUS
192.168.1.454     71:A4:AE:35        NVIDIA
192.168.1.455     69:13:CE:ED:A8:14  Broadcom
192.168.1.456     16:3F:E2:15:8C:2B  Qualcomm
192.168.1.457     A6:91:C8:3F:0A:F1  Lenovo
192.168.1.458     5A:2C:A7:D9:45:32  Broadcom
192.168.1.459     5F:82:8C:D7        Lenovo
192.168.1.460     3F:6B:4A:2D:4F:59  ASUS
192.168.1.461     D4:3E:E2:90:8B:58  ASUS
192.168.1.462     CB:D9:43:2A:5F:47  Qualcomm
192.168.1.463     4A:2D:EF:1A:C5:99  Samsung
192.168.1.464     B0:14:4B:C5:F6:8D  Qualcomm
192.168.1.465     C9:3F:67:D5:3E:78  ASUS
192.168.1.466     EF:1A:DD:B9:B0:14  NVIDIA
192.168.1.467     4B:65:2C:9C:A7:6D  Samsung
192.168.1.468     E3:15:A3:37:B9:90  Lenovo
192.168.1.469     C8:D7:E7:1A:4A:2D  NVIDIA
192.168.1.470     60:97:CA:3F:E2:15  Realtek
192.168.1.471     00:1A:2B:6E        Qualcomm
192.168.1.472     CE:C0:A8:15:B4:3F  Cisco
192.168.1.473     E2:15:03:A6:A2:91  Lenovo
192.168.1.474     9A:3E:E2:5D:C0:2D  Router
192.168.1.475     EF:14:08:4B:EF:58  Dell Inc
192.168.1.476     C2:C5:1D:93:C8:3F  Cisco
192.168.1.477     E2:5D:C2:D4:58:41  Samsung
192.168.1.478     4B:3A:6E:6B:4A:2D  HP Inc
192.168.1.479     A6:78:C7:C0:1D:EA  Samsung
192.168.1.480     44:32:27:91:C8:3F  Qualcomm
192.168.1.481     E2:90:A6:58:A2:A0  Cisco
192.168.1.482     08:77:65:16:7A:ED  Acer
192.168.1.483     EF:12:0C:17:B9:4B  Cisco
192.168.1.484     14:70:E6:CD:89:62  AMD
192.168.1.485     21:A8:4A:2D:A7:91  AMD
